Distrito,Barrio,Población
CENTRO,PALACIO,23720
CENTRO,EMBAJADORES,47365
CENTRO,CORTES,10997
CENTRO,JUSTICIA,18304
CENTRO,UNIVERSIDAD,33305
CENTRO,SOL,8268
ARGANZUELA,IMPERIAL,22565
ARGANZUELA,ACACIAS,36309
ARGANZUELA,CHOPERA,19913
ARGANZUELA,LEGAZPI,19602
ARGANZUELA,DELICIAS,28396
ARGANZUELA,PALOS DE MOGUER,25330
ARGANZUELA,ATOCHA,1605
RETIRO,PACIFICO,32942
RETIRO,ADELFAS,18754
RETIRO,ESTRELLA,22904
RETIRO,IBIZA,21587
RETIRO,LOS JERONIMOS,7002
RETIRO,NIÑO JESUS,15197
SALAMANCA,RECOLETOS,15847
SALAMANCA,GOYA,29713
SALAMANCA,FUENTE DEL BERRO,20961
SALAMANCA,GUINDALERA,41992
SALAMANCA,LISTA,20990
SALAMANCA,CASTELLANA,17289
CHAMARTIN,EL VISO,17290
CHAMARTIN,PROSPERIDAD,36240
CHAMARTIN,CIUDAD JARDIN,18520
CHAMARTIN,HISPANOAMERICA,31638
CHAMARTIN,NUEVA ESPAÑA,24477
CHAMARTIN,CASTILLA,17094
TETUAN,BELLAS VISTAS,29229
TETUAN,CUATRO CAMINOS,34688
TETUAN,CASTILLEJOS,20474
TETUAN,ALMENARA,22702
TETUAN,VALDEACEDERAS,26332
TETUAN,BERRUGUETE,25179
CHAMBERI,GAZTAMBIDE,22907
CHAMBERI,ARAPILES,24123
CHAMBERI,TRAFALGAR,24768
CHAMBERI,ALMAGRO,19469
CHAMBERI,RIOS ROSAS,27061
CHAMBERI,VALLEHERMOSO,20026
FUENCARRAL-EL PARDO,EL PARDO,3419
FUENCARRAL-EL PARDO,FUENTELARREINA,3348
FUENCARRAL-EL PARDO,PEÑA GRANDE,44170
FUENCARRAL-EL PARDO,EL PILAR,45495
FUENCARRAL-EL PARDO,LA PAZ,32492
FUENCARRAL-EL PARDO,VALVERDE,63966
FUENCARRAL-EL PARDO,MIRASIERRA,35241
FUENCARRAL-EL PARDO,EL GOLOSO,19152
MONCLOA-ARAVACA,CASA DE CAMPO,12913
MONCLOA-ARAVACA,ARGUELLES,24336
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,16272
MONCLOA-ARAVACA,VALDEZARZA,29966
MONCLOA-ARAVACA,VALDEMARIN,7064
MONCLOA-ARAVACA,EL PLANTIO,3008
MONCLOA-ARAVACA,ARAVACA,27480
LATINA,LOS CARMENES,17680
LATINA,PUERTA DEL ANGEL,41772
LATINA,LUCERO,36350
LATINA,ALUCHE,66213
LATINA,CAMPAMENTO,19370
LATINA,CUATRO VIENTOS,5959
LATINA,LAS AGUILAS,51002
CARABANCHEL,COMILLAS,22481
CARABANCHEL,OPAÑEL,33374
CARABANCHEL,SAN ISIDRO,39609
CARABANCHEL,VISTA ALEGRE,46831
CARABANCHEL,PUERTA BONITA,35613
CARABANCHEL,BUENAVISTA,47934
CARABANCHEL,ABRANTES,31035
USERA,ORCASITAS,23099
USERA,ORCASUR,14263
USERA,SAN FERMIN,23569
USERA,ALMENDRALES,22620
USERA,MOSCARDO,26269
USERA,ZOFIO,14050
USERA,PRADOLONGO,17587
PUENTE DE VALLECAS,ENTREVIAS,34898
PUENTE DE VALLECAS,SAN DIEGO,43044
PUENTE DE VALLECAS,PALOMERAS BAJAS,40068
PUENTE DE VALLECAS,PALOMERAS SURESTE,42750
PUENTE DE VALLECAS,PORTAZGO,28438
PUENTE DE VALLECAS,NUMANCIA,47590
MORATALAZ,PAVONES,8784
MORATALAZ,HORCAJO,6354
MORATALAZ,MARROQUINA,26455
MORATALAZ,MEDIA LEGUA,17431
MORATALAZ,FONTARRON,17160
MORATALAZ,VINATEROS,16638
CIUDAD LINEAL,VENTAS,48104
CIUDAD LINEAL,PUEBLO NUEVO,62274
CIUDAD LINEAL,QUINTANA,24312
CIUDAD LINEAL,CONCEPCION,20579
CIUDAD LINEAL,SAN PASCUAL,17590
CIUDAD LINEAL,SAN JUAN BAUTISTA,12378
CIUDAD LINEAL,COLINA,6375
CIUDAD LINEAL,ATALAYA,1595
CIUDAD LINEAL,COSTILLARES,21903
HORTALEZA,PALOMAS,6960
HORTALEZA,PIOVERA,15020
HORTALEZA,CANILLAS,39850
HORTALEZA,PINAR DEL REY,52175
HORTALEZA,APOSTOL SANTIAGO,15459
HORTALEZA,VALDEFUENTES,64670
VILLAVERDE,VILLAVERDE ALTO C.H.,46442
VILLAVERDE,SAN CRISTOBAL,16773
VILLAVERDE,BUTARQUE,20881
VILLAVERDE,LOS ROSALES,37531
VILLAVERDE,LOS ANGELES,32929
VILLA DE VALLECAS,CASCO H.VALLECAS,39756
VILLA DE VALLECAS,SANTA EUGENIA,24199
VILLA DE VALLECAS,ENSANCHE DE VALLECAS,51256
VICALVARO,CASCO H.VICALVARO,35253
VICALVARO,VALDEBERNARDO,17474
VICALVARO,VALDERRIVAS,17941
VICALVARO,EL CAÑAVERAL,8141
SAN BLAS-CANILLEJAS,SIMANCAS,28271
SAN BLAS-CANILLEJAS,HELLIN,9298
SAN BLAS-CANILLEJAS,AMPOSTA,8814
SAN BLAS-CANILLEJAS,ARCOS,25080
SAN BLAS-CANILLEJAS,ROSAS,31061
SAN BLAS-CANILLEJAS,REJAS,17033
SAN BLAS-CANILLEJAS,CANILLEJAS,28740
SAN BLAS-CANILLEJAS,EL SALVADOR,11348
BARAJAS,ALAMEDA DE OSUNA,19704
BARAJAS,AEROPUERTO,1884
BARAJAS,CASCO H.BARAJAS,7405
BARAJAS,TIMON,13562
BARAJAS,CORRALEJOS,7688
